benchmark_index,id,source_split,proxy_role,leaderboard_proxy_bucket,family_short,template_subtype,selection_tier,teacher_solver_candidate,gold_answer,v3f_prediction,v3f_is_correct,current_prediction,current_is_correct
182,12e0ac8c,specialized,both_wrong,no_solver_manual,binary,bit_other,manual_audit_priority,,10101001,00111111,False,10011000,False
183,2230fad0,specialized,both_wrong,no_solver_manual,binary,bit_other,manual_audit_priority,,01001010,11111111,False,01111101,False
184,257e7158,specialized,both_wrong,no_solver_manual,binary,bit_other,manual_audit_priority,,00001001,01000111,False,01001111,False
185,8fc1816e,specialized,both_wrong,rare_byte_transform,binary,bit_other,verified_trace_ready,binary_byte_transform,01100011,10100011,False,11100011,False
186,e20d3f48,specialized,both_wrong,rare_perm_independent,binary,bit_permutation_inversion,verified_trace_ready,binary_bit_permutation_independent,10110101,01001010,False,10101010,False
187,f2f257ed,specialized,both_wrong,rare_perm_independent,binary,bit_permutation_inversion,verified_trace_ready,binary_bit_permutation_independent,11100001,11010001,False,11010001,False
188,008b52fd,specialized,both_wrong,supported_affine_xor,binary,bit_other,verified_trace_ready,binary_affine_xor,01100101,10010011,False,01000100,False
189,08615ada,specialized,both_wrong,supported_affine_xor,binary,bit_other,verified_trace_ready,binary_affine_xor,11101111,01111101,False,01111011,False
190,0d7aacfc,specialized,both_wrong,supported_affine_xor,binary,bit_other,verified_trace_ready,binary_affine_xor,01100001,01001001,False,01101001,False
191,0dfd7674,specialized,both_wrong,supported_affine_xor,binary,bit_other,verified_trace_ready,binary_affine_xor,01001110,10010111,False,10101110,False
192,10d29630,specialized,both_wrong,supported_affine_xor,binary,bit_other,verified_trace_ready,binary_affine_xor,11001001,00000001,False,10000100,False
193,1dfb1f3d,specialized,both_wrong,supported_affine_xor,binary,bit_other,verified_trace_ready,binary_affine_xor,10000101,00000101,False,00000101,False
194,b67194af,specialized,both_wrong,supported_bijection,binary,bit_permutation_inversion,verified_trace_ready,binary_bit_permutation_bijection,10100110,01001101,False,01001101,False
195,009a74b6,specialized,both_wrong,supported_not_structured,binary,bit_structured_byte_formula,answer_only_keep,,11111011,00000011,False,00000011,False
196,31966698,specialized,both_wrong,supported_not_structured,binary,bit_structured_byte_formula,answer_only_keep,,11110111,11111111,False,11111110,False
197,5d77eff6,specialized,both_wrong,supported_not_structured,binary,bit_structured_byte_formula,answer_only_keep,,00011100,10111100,False,01111101,False
198,6a186446,specialized,both_wrong,supported_not_structured,binary,bit_structured_byte_formula,verified_trace_ready,binary_structured_byte_not_formula,01110111,01110011,False,01010011,False
199,77602e0f,specialized,both_wrong,supported_not_structured,binary,bit_structured_byte_formula,verified_trace_ready,binary_structured_byte_not_formula,11001101,01011101,False,11011101,False
200,9b9b87e3,specialized,both_wrong,supported_not_structured,binary,bit_structured_byte_formula,answer_only_keep,,01110111,11011111,False,11011111,False
