query_operator,formula_name,format_name,support_rows,gold_match_rows,error_rows,safe_operator_spec
"""",x_plus_y_minus1__rev_in1_rev_out1,plain,1,1,0,False
"""",x_plus_y_minus1__rev_in1_rev_out1,prefix_if_negative,1,1,0,False
#,abs_diff_2d_op_suffix__rev_in1_rev_out1,string_template,1,1,0,False
#,x_mul_y__rev_in1_rev_out1,abs_plain,1,1,0,False
#,x_mul_y__rev_in1_rev_out1,plain,1,1,0,False
#,x_mul_y__rev_in1_rev_out1,prefix_if_negative,1,1,0,False
#,x_plus_y__rev_in1_rev_out1,abs_plain,1,1,0,False
#,x_plus_y__rev_in1_rev_out1,plain,1,1,0,False
#,x_plus_y__rev_in1_rev_out1,prefix_if_negative,1,1,0,False
#,y_minus_x__rev_in1_rev_out1,prefix_if_negative,1,1,0,False
$,abs_diff_2d_op_suffix__rev_in1_rev_out1,string_template,1,1,0,False
$,abs_diff__rev_in1_rev_out1,prefix_abs_zpad2,1,1,0,False
$,abs_diff__rev_in1_rev_out1,prefix_always_abs,1,1,0,False
$,x_minus_y__rev_in1_rev_out1,prefix_abs_zpad2,1,1,0,False
$,x_minus_y__rev_in1_rev_out1,prefix_always_abs,1,1,0,False
$,x_mod_y__rev_in0_rev_out1,abs_plain,1,1,0,False
$,x_mod_y__rev_in0_rev_out1,plain,1,1,0,False
$,x_mod_y__rev_in0_rev_out1,prefix_if_negative,1,1,0,False
$,x_mul_y_plus1__rev_in1_rev_out1,abs_plain,1,1,0,False
$,x_mul_y_plus1__rev_in1_rev_out1,plain,1,1,0,False
$,x_mul_y_plus1__rev_in1_rev_out1,prefix_if_negative,1,1,0,False
$,y_minus_x__rev_in1_rev_out1,prefix_abs_zpad2,1,1,0,False
$,y_minus_x__rev_in1_rev_out1,prefix_always_abs,1,1,0,False
%,x_mul_y_minus1__rev_in1_rev_out1,abs_plain,1,1,0,False
%,x_mul_y_minus1__rev_in1_rev_out1,plain,1,1,0,False
%,x_mul_y_minus1__rev_in1_rev_out1,prefix_if_negative,1,1,0,False
%,x_plus_y_minus1__rev_in1_rev_out1,abs_plain,1,1,0,False
%,x_plus_y_minus1__rev_in1_rev_out1,plain,1,1,0,False
%,x_plus_y_minus1__rev_in1_rev_out1,prefix_if_negative,1,1,0,False
&,concat_yx__rev_in1_rev_out1,string_template,1,1,0,False
&,x_minus_y__rev_in1_rev_out1,prefix_if_negative,1,1,0,False
&,x_mul_y__rev_in1_rev_out1,abs_plain,1,1,0,False
&,x_mul_y__rev_in1_rev_out1,plain,1,1,0,False
&,x_mul_y__rev_in1_rev_out1,prefix_if_negative,1,1,0,False
&,y_minus_x__rev_in0_rev_out1,plain,1,1,0,False
&,y_minus_x__rev_in0_rev_out1,prefix_if_negative,1,1,0,False
&,y_mod_x__rev_in0_rev_out1,abs_plain,1,1,0,False
&,y_mod_x__rev_in0_rev_out1,plain,1,1,0,False
&,y_mod_x__rev_in0_rev_out1,prefix_if_negative,1,1,0,False
',abs_diff_2d_op_suffix__rev_in1_rev_out1,string_template,1,1,0,False
',abs_diff__rev_in1_rev_out1,abs_plain,1,1,0,False
',abs_diff__rev_in1_rev_out1,plain,1,1,0,False
',abs_diff__rev_in1_rev_out1,prefix_abs_zpad2,1,1,0,False
',abs_diff__rev_in1_rev_out1,prefix_always_abs,1,1,0,False
',abs_diff__rev_in1_rev_out1,prefix_if_negative,1,1,0,False
',max_mod_min__rev_in1_rev_out1,prefix_abs_zpad2,1,1,0,False
',max_mod_min__rev_in1_rev_out1,prefix_always_abs,1,1,0,False
',x_minus_y__rev_in1_rev_out1,abs_plain,1,1,0,False
',x_minus_y__rev_in1_rev_out1,plain,1,1,0,False
',x_minus_y__rev_in1_rev_out1,prefix_abs_zpad2,1,1,0,False
',x_minus_y__rev_in1_rev_out1,prefix_always_abs,1,1,0,False
',x_mul_y_minus1__rev_in1_rev_out1,abs_plain,1,1,0,False
',x_mul_y_minus1__rev_in1_rev_out1,plain,1,1,0,False
',x_mul_y_minus1__rev_in1_rev_out1,prefix_if_negative,1,1,0,False
',x_plus_y_plus1__rev_in1_rev_out1,abs_plain,1,1,0,False
',x_plus_y_plus1__rev_in1_rev_out1,plain,1,1,0,False
',x_plus_y_plus1__rev_in1_rev_out1,prefix_if_negative,1,1,0,False
',y_minus_x__rev_in1_rev_out1,abs_plain,1,1,0,False
',y_minus_x__rev_in1_rev_out1,prefix_abs_zpad2,1,1,0,False
',y_minus_x__rev_in1_rev_out1,prefix_always_abs,1,1,0,False
',y_mod_x__rev_in1_rev_out1,prefix_abs_zpad2,1,1,0,False
',y_mod_x__rev_in1_rev_out1,prefix_always_abs,1,1,0,False
(,abs_diff__rev_in0_rev_out1,abs_plain,1,1,0,False
(,abs_diff__rev_in0_rev_out1,plain,1,1,0,False
(,abs_diff__rev_in0_rev_out1,prefix_if_negative,1,1,0,False
(,max_mod_min__rev_in0_rev_out1,abs_plain,1,1,0,False
(,max_mod_min__rev_in0_rev_out1,plain,1,1,0,False
(,max_mod_min__rev_in0_rev_out1,prefix_if_negative,1,1,0,False
(,x_minus_y__rev_in0_rev_out1,abs_plain,1,1,0,False
(,x_minus_y__rev_in1_rev_out1,prefix_if_negative,1,1,0,False
(,x_mul_y__rev_in1_rev_out1,abs_plain,1,1,0,False
(,x_mul_y__rev_in1_rev_out1,plain,1,1,0,False
(,x_mul_y__rev_in1_rev_out1,prefix_if_negative,1,1,0,False
(,y_minus_x__rev_in0_rev_out1,abs_plain,1,1,0,False
(,y_minus_x__rev_in0_rev_out1,plain,1,1,0,False
(,y_minus_x__rev_in0_rev_out1,prefix_if_negative,1,1,0,False
(,y_mod_x__rev_in0_rev_out1,abs_plain,1,1,0,False
(,y_mod_x__rev_in0_rev_out1,plain,1,1,0,False
(,y_mod_x__rev_in0_rev_out1,prefix_if_negative,1,1,0,False
),concat_yx__rev_in1_rev_out1,string_template,1,1,0,False
),max_mod_min__rev_in0_rev_out1,abs_plain,1,1,0,False
),max_mod_min__rev_in0_rev_out1,plain,1,1,0,False
),max_mod_min__rev_in0_rev_out1,prefix_if_negative,1,1,0,False
*,abs_diff_2d__rev_in1_rev_out1,string_template,1,1,0,False
*,x_plus_y_minus1__rev_in1_rev_out1,abs_plain,1,1,0,False
*,x_plus_y_minus1__rev_in1_rev_out1,plain,1,1,0,False
*,x_plus_y_minus1__rev_in1_rev_out1,prefix_if_negative,1,1,0,False
*,x_plus_y_plus1__rev_in1_rev_out1,abs_plain,1,1,0,False
*,x_plus_y_plus1__rev_in1_rev_out1,plain,1,1,0,False
*,x_plus_y_plus1__rev_in1_rev_out1,prefix_if_negative,1,1,0,False
+,abs_diff_2d__rev_in1_rev_out1,string_template,1,1,0,False
+,abs_diff_2d_op_suffix__rev_in1_rev_out1,string_template,1,1,0,False
+,abs_diff__rev_in0_rev_out1,abs_plain,1,1,0,False
+,abs_diff__rev_in0_rev_out1,plain,1,1,0,False
+,abs_diff__rev_in0_rev_out1,prefix_if_negative,1,1,0,False
+,abs_diff__rev_in1_rev_out1,prefix_abs_zpad2,1,1,0,False
+,abs_diff__rev_in1_rev_out1,prefix_always_abs,1,1,0,False
+,concat_yx__rev_in1_rev_out1,string_template,1,1,0,False
+,max_mod_min__rev_in0_rev_out1,abs_plain,1,1,0,False
+,max_mod_min__rev_in0_rev_out1,plain,1,1,0,False
+,max_mod_min__rev_in0_rev_out1,prefix_if_negative,1,1,0,False
+,x_minus_y__rev_in0_rev_out1,abs_plain,1,1,0,False
+,x_minus_y__rev_in1_rev_out1,prefix_abs_zpad2,1,1,0,False
+,x_minus_y__rev_in1_rev_out1,prefix_always_abs,1,1,0,False
+,x_mul_y__rev_in1_rev_out1,abs_plain,1,1,0,False
+,x_mul_y__rev_in1_rev_out1,plain,1,1,0,False
+,x_mul_y__rev_in1_rev_out1,prefix_if_negative,1,1,0,False
+,x_mul_y_minus1__rev_in1_rev_out1,abs_plain,1,1,0,False
+,x_mul_y_minus1__rev_in1_rev_out1,plain,1,1,0,False
+,x_mul_y_minus1__rev_in1_rev_out1,prefix_if_negative,1,1,0,False
+,y_minus_x__rev_in0_rev_out1,abs_plain,1,1,0,False
+,y_minus_x__rev_in1_rev_out1,prefix_abs_zpad2,1,1,0,False
+,y_minus_x__rev_in1_rev_out1,prefix_always_abs,1,1,0,False
-,comp99_abs_diff_2d__rev_in1_rev_out1,zpad2,1,1,0,False
-,x_mul_y__rev_in1_rev_out1,abs_plain,1,1,0,False
-,x_mul_y__rev_in1_rev_out1,plain,1,1,0,False
-,x_mul_y__rev_in1_rev_out1,prefix_if_negative,1,1,0,False
-,x_mul_y_minus1__rev_in1_rev_out1,abs_plain,1,1,0,False
-,x_mul_y_minus1__rev_in1_rev_out1,plain,1,1,0,False
-,x_mul_y_minus1__rev_in1_rev_out1,prefix_if_negative,1,1,0,False
-,x_mul_y_plus1__rev_in1_rev_out1,abs_plain,1,1,0,False
-,x_mul_y_plus1__rev_in1_rev_out1,plain,1,1,0,False
-,x_mul_y_plus1__rev_in1_rev_out1,prefix_if_negative,1,1,0,False
/,abs_diff_2d_op_suffix__rev_in1_rev_out1,string_template,1,1,0,False
/,abs_diff__rev_in1_rev_out1,prefix_abs_zpad2,1,1,0,False
/,abs_diff__rev_in1_rev_out1,prefix_always_abs,1,1,0,False
/,x_minus_y__rev_in1_rev_out1,prefix_abs_zpad2,1,1,0,False
/,x_minus_y__rev_in1_rev_out1,prefix_always_abs,1,1,0,False
/,y_minus_x__rev_in1_rev_out1,prefix_abs_zpad2,1,1,0,False
/,y_minus_x__rev_in1_rev_out1,prefix_always_abs,1,1,0,False
:,abs_diff_2d__rev_in1_rev_out1,string_template,1,1,0,False
:,abs_diff_2d_op_suffix__rev_in1_rev_out1,string_template,1,1,0,False
:,abs_diff__rev_in1_rev_out1,prefix_abs_zpad2,1,1,0,False
:,abs_diff__rev_in1_rev_out1,prefix_always_abs,1,1,0,False
:,x_minus_y__rev_in1_rev_out1,prefix_abs_zpad2,1,1,0,False
:,x_minus_y__rev_in1_rev_out1,prefix_always_abs,1,1,0,False
:,x_plus_y__rev_in1_rev_out1,abs_plain,1,1,0,False
:,x_plus_y__rev_in1_rev_out1,plain,1,1,0,False
:,x_plus_y__rev_in1_rev_out1,prefix_if_negative,1,1,0,False
:,y_minus_x__rev_in1_rev_out1,prefix_abs_zpad2,1,1,0,False
:,y_minus_x__rev_in1_rev_out1,prefix_always_abs,1,1,0,False
>,concat_yx__rev_in1_rev_out1,string_template,1,1,0,False
>,x_mul_y_plus1__rev_in1_rev_out1,abs_plain,1,1,0,False
>,x_mul_y_plus1__rev_in1_rev_out1,plain,1,1,0,False
>,x_mul_y_plus1__rev_in1_rev_out1,prefix_if_negative,1,1,0,False
?,comp99_abs_diff_2d__rev_in1_rev_out1,prefix_abs_zpad2,1,1,0,False
?,concat_xy__rev_in1_rev_out1,string_template,1,1,0,False
?,x_mul_y__rev_in1_rev_out1,abs_plain,1,1,0,False
?,x_mul_y__rev_in1_rev_out1,plain,1,1,0,False
?,x_mul_y__rev_in1_rev_out1,prefix_if_negative,1,1,0,False
?,x_plus_y_minus1__rev_in1_rev_out1,abs_plain,1,1,0,False
?,x_plus_y_minus1__rev_in1_rev_out1,plain,1,1,0,False
?,x_plus_y_minus1__rev_in1_rev_out1,prefix_if_negative,1,1,0,False
@,abs_diff_2d__rev_in1_rev_out1,string_template,1,1,0,False
@,abs_diff__rev_in1_rev_out1,abs_plain,1,1,0,False
@,abs_diff__rev_in1_rev_out1,plain,1,1,0,False
@,abs_diff__rev_in1_rev_out1,prefix_if_negative,1,1,0,False
@,comp99_abs_diff_2d__rev_in1_rev_out1,prefix_abs_zpad2,1,1,0,False
@,concat_yx__rev_in1_rev_out1,string_template,1,1,0,False
@,max_mod_min__rev_in1_rev_out1,abs_plain,1,1,0,False
@,max_mod_min__rev_in1_rev_out1,plain,1,1,0,False
@,max_mod_min__rev_in1_rev_out1,prefix_if_negative,1,1,0,False
@,x_minus_y__rev_in1_rev_out1,abs_plain,1,1,0,False
@,x_mul_y_minus1__rev_in1_rev_out1,abs_plain,1,1,0,False
@,x_mul_y_minus1__rev_in1_rev_out1,plain,1,1,0,False
@,x_mul_y_minus1__rev_in1_rev_out1,prefix_if_negative,1,1,0,False
@,x_plus_y_minus1__rev_in1_rev_out1,abs_plain,1,1,0,False
@,x_plus_y_minus1__rev_in1_rev_out1,plain,1,1,0,False
@,x_plus_y_minus1__rev_in1_rev_out1,prefix_if_negative,1,1,0,False
@,y_minus_x__rev_in1_rev_out1,abs_plain,1,1,0,False
[,x_minus_y__rev_in1_rev_out1,plain,1,1,0,False
[,x_minus_y__rev_in1_rev_out1,prefix_if_negative,1,1,0,False
[,x_mul_y_plus1__rev_in1_rev_out1,abs_plain,1,1,0,False
[,x_mul_y_plus1__rev_in1_rev_out1,plain,1,1,0,False
[,x_mul_y_plus1__rev_in1_rev_out1,prefix_if_negative,1,1,0,False
[,x_plus_y__rev_in1_rev_out1,abs_plain,1,1,0,False
[,x_plus_y__rev_in1_rev_out1,plain,1,1,0,False
[,x_plus_y__rev_in1_rev_out1,prefix_if_negative,1,1,0,False
[,x_plus_y_plus1__rev_in1_rev_out1,abs_plain,1,1,0,False
[,x_plus_y_plus1__rev_in1_rev_out1,plain,1,1,0,False
[,x_plus_y_plus1__rev_in1_rev_out1,prefix_if_negative,1,1,0,False
[,y_minus_x__rev_in1_rev_out1,plain,1,1,0,False
[,y_minus_x__rev_in1_rev_out1,prefix_if_negative,1,1,0,False
\,concat_yx__rev_in1_rev_out1,string_template,1,1,0,False
\,x_minus_y__rev_in1_rev_out1,prefix_if_negative,1,1,0,False
],concat_yx__rev_in1_rev_out1,string_template,1,1,0,False
],x_minus_y__rev_in1_rev_out1,prefix_if_negative,1,1,0,False
],x_mul_y__rev_in1_rev_out1,abs_plain,1,1,0,False
],x_mul_y__rev_in1_rev_out1,plain,1,1,0,False
],x_mul_y__rev_in1_rev_out1,prefix_if_negative,1,1,0,False
],x_mul_y_plus1__rev_in1_rev_out1,abs_plain,1,1,0,False
],x_mul_y_plus1__rev_in1_rev_out1,plain,1,1,0,False
],x_mul_y_plus1__rev_in1_rev_out1,prefix_if_negative,1,1,0,False
],x_plus_y__rev_in1_rev_out1,abs_plain,1,1,0,False
],x_plus_y__rev_in1_rev_out1,plain,1,1,0,False
],x_plus_y__rev_in1_rev_out1,prefix_if_negative,1,1,0,False
^,abs_diff_2d__rev_in1_rev_out1,string_template,1,1,0,False
^,abs_diff__rev_in0_rev_out1,prefix_always_abs,1,1,0,False
^,comp99_abs_diff_2d__rev_in1_rev_out1,zpad2,1,1,0,False
^,concat_yx__rev_in1_rev_out1,string_template,1,1,0,False
^,max_mod_min__rev_in0_rev_out1,prefix_always_abs,1,1,0,False
^,x_minus_y__rev_in0_rev_out1,prefix_always_abs,1,1,0,False
^,x_minus_y__rev_in1_rev_out1,plain,1,1,0,False
^,x_minus_y__rev_in1_rev_out1,prefix_if_negative,1,1,0,False
^,y_minus_x__rev_in0_rev_out1,prefix_always_abs,1,1,0,False
`,abs_diff_2d__rev_in1_rev_out1,string_template,1,1,0,False
`,concat_xy__rev_in1_rev_out1,string_template,1,1,0,False
`,x_mul_y_minus1__rev_in1_rev_out1,abs_plain,1,1,0,False
`,x_mul_y_minus1__rev_in1_rev_out1,plain,1,1,0,False
`,x_mul_y_minus1__rev_in1_rev_out1,prefix_if_negative,1,1,0,False
`,x_plus_y_minus1__rev_in1_rev_out1,abs_plain,1,1,0,False
`,x_plus_y_minus1__rev_in1_rev_out1,plain,1,1,0,False
`,x_plus_y_minus1__rev_in1_rev_out1,prefix_if_negative,1,1,0,False
{,x_plus_y_minus1__rev_in1_rev_out1,abs_plain,1,1,0,False
{,x_plus_y_minus1__rev_in1_rev_out1,plain,1,1,0,False
{,x_plus_y_minus1__rev_in1_rev_out1,prefix_if_negative,1,1,0,False
|,x_mul_y__rev_in1_rev_out1,abs_plain,1,1,0,False
|,x_mul_y__rev_in1_rev_out1,plain,1,1,0,False
|,x_mul_y__rev_in1_rev_out1,prefix_if_negative,1,1,0,False
|,x_mul_y_minus1__rev_in1_rev_out1,abs_plain,1,1,0,False
|,x_mul_y_minus1__rev_in1_rev_out1,plain,1,1,0,False
|,x_mul_y_minus1__rev_in1_rev_out1,prefix_if_negative,1,1,0,False
},abs_diff__rev_in1_rev_out1,prefix_always_abs,1,1,0,False
},concat_yx__rev_in1_rev_out1,string_template,1,1,0,False
},max_mod_min__rev_in1_rev_out1,prefix_always_abs,1,1,0,False
},x_minus_y__rev_in1_rev_out1,prefix_always_abs,1,1,0,False
},x_mul_y__rev_in1_rev_out1,abs_plain,1,1,0,False
},x_mul_y__rev_in1_rev_out1,plain,1,1,0,False
},x_mul_y__rev_in1_rev_out1,prefix_if_negative,1,1,0,False
},x_mul_y_plus1__rev_in1_rev_out1,abs_plain,1,1,0,False
},x_mul_y_plus1__rev_in1_rev_out1,plain,1,1,0,False
},x_mul_y_plus1__rev_in1_rev_out1,prefix_if_negative,1,1,0,False
},x_plus_y_minus1__rev_in1_rev_out1,abs_plain,1,1,0,False
},x_plus_y_minus1__rev_in1_rev_out1,plain,1,1,0,False
},x_plus_y_minus1__rev_in1_rev_out1,prefix_if_negative,1,1,0,False
},y_minus_x__rev_in1_rev_out1,prefix_always_abs,1,1,0,False
!,comp99_abs_diff_2d__rev_in1_rev_out1,zpad2,1,0,1,False
!,x_mul_y__rev_in1_rev_out0,abs_plain,1,0,1,False
!,x_mul_y__rev_in1_rev_out0,plain,1,0,1,False
!,x_mul_y__rev_in1_rev_out0,prefix_if_negative,1,0,1,False
!,x_mul_y_plus1__rev_in0_rev_out1,abs_plain,1,0,1,False
!,x_mul_y_plus1__rev_in0_rev_out1,plain,1,0,1,False
!,x_mul_y_plus1__rev_in0_rev_out1,prefix_if_negative,1,0,1,False
!,y_mod_x__rev_in1_rev_out1,abs_plain,1,0,1,False
!,y_mod_x__rev_in1_rev_out1,plain,1,0,1,False
!,y_mod_x__rev_in1_rev_out1,prefix_if_negative,1,0,1,False
"""",abs_diff__rev_in1_rev_out0,abs_plain,1,0,1,False
"""",abs_diff__rev_in1_rev_out0,plain,1,0,1,False
"""",abs_diff__rev_in1_rev_out0,prefix_if_negative,1,0,1,False
"""",abs_diff__rev_in1_rev_out1,prefix_abs_zpad2,1,0,1,False
"""",abs_diff__rev_in1_rev_out1,prefix_always_abs,1,0,1,False
"""",max_mod_min__rev_in1_rev_out0,abs_plain,1,0,1,False
"""",max_mod_min__rev_in1_rev_out0,plain,1,0,1,False
"""",max_mod_min__rev_in1_rev_out0,prefix_if_negative,1,0,1,False
"""",x_minus_y__rev_in1_rev_out0,abs_plain,1,0,1,False
"""",x_minus_y__rev_in1_rev_out1,prefix_abs_zpad2,1,0,1,False
"""",x_minus_y__rev_in1_rev_out1,prefix_always_abs,1,0,1,False
"""",x_mod_y__rev_in1_rev_out1,abs_plain,1,0,1,False
"""",x_mod_y__rev_in1_rev_out1,plain,1,0,1,False
"""",x_mod_y__rev_in1_rev_out1,prefix_if_negative,1,0,1,False
"""",y_minus_x__rev_in1_rev_out0,abs_plain,1,0,1,False
"""",y_minus_x__rev_in1_rev_out0,plain,1,0,1,False
"""",y_minus_x__rev_in1_rev_out0,prefix_if_negative,1,0,1,False
"""",y_minus_x__rev_in1_rev_out1,plain,1,0,1,False
"""",y_minus_x__rev_in1_rev_out1,prefix_abs_zpad2,1,0,1,False
"""",y_minus_x__rev_in1_rev_out1,prefix_always_abs,1,0,1,False
"""",y_minus_x__rev_in1_rev_out1,prefix_if_negative,1,0,1,False
"""",y_mod_x__rev_in1_rev_out0,abs_plain,1,0,1,False
"""",y_mod_x__rev_in1_rev_out0,plain,1,0,1,False
"""",y_mod_x__rev_in1_rev_out0,prefix_if_negative,1,0,1,False
"""",y_mod_x__rev_in1_rev_out1,abs_plain,1,0,1,False
"""",y_mod_x__rev_in1_rev_out1,plain,1,0,1,False
"""",y_mod_x__rev_in1_rev_out1,prefix_if_negative,1,0,1,False
#,max_mod_min__rev_in1_rev_out1,prefix_abs_zpad2,1,0,1,False
#,max_mod_min__rev_in1_rev_out1,prefix_always_abs,1,0,1,False
#,x__rev_in1_rev_out1,prefix_abs_zpad2,1,0,1,False
#,x__rev_in1_rev_out1,prefix_always_abs,1,0,1,False
#,x_mod_y__rev_in1_rev_out1,prefix_abs_zpad2,1,0,1,False
#,x_mod_y__rev_in1_rev_out1,prefix_always_abs,1,0,1,False
#,y_mod_x__rev_in1_rev_out1,prefix_abs_zpad2,1,0,1,False
#,y_mod_x__rev_in1_rev_out1,prefix_always_abs,1,0,1,False
$,abs_diff__rev_in1_rev_out1,abs_plain,1,0,1,False
$,abs_diff__rev_in1_rev_out1,plain,1,0,1,False
$,abs_diff__rev_in1_rev_out1,prefix_if_negative,1,0,1,False
$,max_mod_min__rev_in1_rev_out0,abs_plain,1,0,1,False
$,max_mod_min__rev_in1_rev_out0,plain,1,0,1,False
$,max_mod_min__rev_in1_rev_out0,prefix_if_negative,1,0,1,False
$,max_mod_min__rev_in1_rev_out1,abs_plain,1,0,1,False
$,max_mod_min__rev_in1_rev_out1,plain,1,0,1,False
$,max_mod_min__rev_in1_rev_out1,prefix_if_negative,1,0,1,False
$,x_minus_y__rev_in1_rev_out1,abs_plain,1,0,1,False
$,x_minus_y__rev_in1_rev_out1,plain,1,0,1,False
$,x_mod_y__rev_in1_rev_out0,abs_plain,1,0,1,False
$,x_mod_y__rev_in1_rev_out0,plain,1,0,1,False
$,x_mod_y__rev_in1_rev_out0,prefix_if_negative,1,0,1,False
$,x_mod_y__rev_in1_rev_out1,abs_plain,1,0,1,False
$,x_mod_y__rev_in1_rev_out1,plain,1,0,1,False
$,x_mod_y__rev_in1_rev_out1,prefix_if_negative,1,0,1,False
$,y_minus_x__rev_in1_rev_out1,abs_plain,1,0,1,False
$,y_mod_x__rev_in0_rev_out1,abs_plain,1,0,1,False
$,y_mod_x__rev_in0_rev_out1,plain,1,0,1,False
$,y_mod_x__rev_in0_rev_out1,prefix_if_negative,1,0,1,False
&,x_minus_y__rev_in0_rev_out1,plain,1,0,1,False
&,x_minus_y__rev_in0_rev_out1,prefix_if_negative,1,0,1,False
&,x_mod_y__rev_in0_rev_out1,abs_plain,1,0,1,False
&,x_mod_y__rev_in0_rev_out1,plain,1,0,1,False
&,x_mod_y__rev_in0_rev_out1,prefix_if_negative,1,0,1,False
',max_mod_min__rev_in1_rev_out1,abs_plain,1,0,1,False
',max_mod_min__rev_in1_rev_out1,plain,1,0,1,False
',max_mod_min__rev_in1_rev_out1,prefix_if_negative,1,0,1,False
',x_mod_y__rev_in1_rev_out1,abs_plain,1,0,1,False
',x_mod_y__rev_in1_rev_out1,plain,1,0,1,False
',x_mod_y__rev_in1_rev_out1,prefix_if_negative,1,0,1,False
),abs_diff__rev_in0_rev_out1,abs_plain,1,0,1,False
),abs_diff__rev_in0_rev_out1,plain,1,0,1,False
),abs_diff__rev_in0_rev_out1,prefix_if_negative,1,0,1,False
),abs_diff__rev_in1_rev_out1,prefix_abs_zpad2,1,0,1,False
),abs_diff__rev_in1_rev_out1,prefix_always_abs,1,0,1,False
),x_minus_y__rev_in0_rev_out1,abs_plain,1,0,1,False
),x_minus_y__rev_in1_rev_out1,prefix_abs_zpad2,1,0,1,False
),x_minus_y__rev_in1_rev_out1,prefix_always_abs,1,0,1,False
),x_plus_y__rev_in0_rev_out1,abs_plain,1,0,1,False
),x_plus_y__rev_in0_rev_out1,plain,1,0,1,False
),x_plus_y__rev_in0_rev_out1,prefix_if_negative,1,0,1,False
),x_plus_y__rev_in1_rev_out0,abs_plain,1,0,1,False
),x_plus_y__rev_in1_rev_out0,plain,1,0,1,False
),x_plus_y__rev_in1_rev_out0,prefix_if_negative,1,0,1,False
),y_minus_x__rev_in0_rev_out1,abs_plain,1,0,1,False
),y_minus_x__rev_in1_rev_out1,prefix_abs_zpad2,1,0,1,False
),y_minus_x__rev_in1_rev_out1,prefix_always_abs,1,0,1,False
*,abs_diff__rev_in0_rev_out1,abs_plain,1,0,1,False
*,abs_diff__rev_in0_rev_out1,plain,1,0,1,False
*,abs_diff__rev_in0_rev_out1,prefix_if_negative,1,0,1,False
*,abs_diff__rev_in1_rev_out0,abs_plain,1,0,1,False
*,abs_diff__rev_in1_rev_out0,plain,1,0,1,False
*,abs_diff__rev_in1_rev_out0,prefix_if_negative,1,0,1,False
*,max_mod_min__rev_in1_rev_out1,prefix_abs_zpad2,1,0,1,False
*,x_minus_y__rev_in0_rev_out1,abs_plain,1,0,1,False
*,x_minus_y__rev_in0_rev_out1,plain,1,0,1,False
*,x_minus_y__rev_in0_rev_out1,prefix_if_negative,1,0,1,False
*,x_minus_y__rev_in1_rev_out0,abs_plain,1,0,1,False
*,x_minus_y__rev_in1_rev_out0,plain,1,0,1,False
*,x_minus_y__rev_in1_rev_out0,prefix_if_negative,1,0,1,False
*,x_plus_y__rev_in1_rev_out0,abs_plain,1,0,1,False
*,x_plus_y__rev_in1_rev_out0,plain,1,0,1,False
*,x_plus_y__rev_in1_rev_out0,prefix_if_negative,1,0,1,False
*,x_plus_y_minus1__rev_in1_rev_out0,abs_plain,1,0,1,False
*,x_plus_y_minus1__rev_in1_rev_out0,plain,1,0,1,False
*,x_plus_y_minus1__rev_in1_rev_out0,prefix_if_negative,1,0,1,False
*,y_minus_x__rev_in0_rev_out1,abs_plain,1,0,1,False
*,y_minus_x__rev_in1_rev_out0,abs_plain,1,0,1,False
*,y_mod_x__rev_in1_rev_out1,prefix_abs_zpad2,1,0,1,False
+,abs_diff__rev_in1_rev_out1,abs_plain,1,0,1,False
+,abs_diff__rev_in1_rev_out1,plain,1,0,1,False
+,abs_diff__rev_in1_rev_out1,prefix_if_negative,1,0,1,False
+,comp99_abs_diff_2d__rev_in1_rev_out1,zpad2,1,0,1,False
+,concat_xy__rev_in1_rev_out0,string_template,1,0,1,False
+,concat_yx__rev_in0_rev_out1,string_template,1,0,1,False
+,x_minus_y__rev_in1_rev_out1,abs_plain,1,0,1,False
+,x_minus_y__rev_in1_rev_out1,plain,1,0,1,False
+,x_plus_y_minus1__rev_in1_rev_out0,abs_plain,1,0,1,False
+,x_plus_y_minus1__rev_in1_rev_out0,plain,1,0,1,False
+,x_plus_y_minus1__rev_in1_rev_out0,prefix_if_negative,1,0,1,False
+,x_plus_y_plus1__rev_in0_rev_out1,abs_plain,1,0,1,False
+,x_plus_y_plus1__rev_in0_rev_out1,plain,1,0,1,False
+,x_plus_y_plus1__rev_in0_rev_out1,prefix_if_negative,1,0,1,False
+,x_plus_y_plus1__rev_in1_rev_out0,abs_plain,1,0,1,False
+,x_plus_y_plus1__rev_in1_rev_out0,plain,1,0,1,False
+,x_plus_y_plus1__rev_in1_rev_out0,prefix_if_negative,1,0,1,False
+,y_minus_x__rev_in0_rev_out1,plain,1,0,1,False
+,y_minus_x__rev_in0_rev_out1,prefix_if_negative,1,0,1,False
+,y_minus_x__rev_in1_rev_out1,abs_plain,1,0,1,False
+,y_mod_x__rev_in0_rev_out1,abs_plain,1,0,1,False
+,y_mod_x__rev_in0_rev_out1,plain,1,0,1,False
+,y_mod_x__rev_in0_rev_out1,prefix_if_negative,1,0,1,False
-,abs_diff_2d__rev_in1_rev_out0,string_template,1,0,1,False
-,x__rev_in0_rev_out1,prefix_abs_zpad2,1,0,1,False
-,x__rev_in0_rev_out1,prefix_always_abs,1,0,1,False
-,x__rev_in1_rev_out0,prefix_abs_zpad2,1,0,1,False
-,x__rev_in1_rev_out0,prefix_always_abs,1,0,1,False
-,x_mod_y__rev_in0_rev_out1,abs_plain,1,0,1,False
-,x_mod_y__rev_in0_rev_out1,plain,1,0,1,False
