abstract_family,support_rows,gold_match_rows,distinct_exact_formula_count,error_rows,safe_abstract_family
"and(or(not(ror),x),shl)",1,0,1,1,False
"and(or(not(shl),not(x)),ror)",1,0,1,1,False
"and(or(not(shl),reverse),rol)",1,0,1,1,False
"and(or(not(shl),x),rol)",1,0,1,1,False
"and(or(not(shr),reverse),shr)",1,0,1,1,False
"and(or(not(shr),shr),shr)",1,0,1,1,False
"and(or(not(x),rol),shr)",1,0,1,1,False
"and(or(reverse,ror),shr)",1,0,1,1,False
"and(or(rol,shr),shl)",1,0,1,1,False
"and(or(ror,x),shl)",1,0,1,1,False
"and(or(ror,x),shr)",1,0,1,1,False
"and(rol,xor(const_mask,not(shl)))",1,0,1,1,False
"and(ror,xor(const_mask,shr))",1,0,1,1,False
"and(ror,xor(not(shl),not(shr)))",1,0,1,1,False
"and(shl,xor(const_mask,reverse))",1,0,1,1,False
"and(shl,xor(const_mask,shr))",1,0,1,1,False
"and(shl,xor(not(rol),not(ror)))",1,0,1,1,False
"and(shl,xor(not(rol),not(shr)))",1,0,1,1,False
"and(shl,xor(not(rol),ror))",1,0,1,1,False
"and(shl,xor(not(ror),not(ror)))",1,0,1,1,False
"and(shl,xor(not(ror),not(shl)))",1,0,1,1,False
"and(shl,xor(not(shl),not(shr)))",1,0,1,1,False
"and(shr,xor(nibble_swap,shl))",1,0,1,1,False
"and(shr,xor(not(shl),not(shr)))",1,0,1,1,False
"or(and(const_mask,nibble_swap),not(ror))",1,0,1,1,False
"or(and(const_mask,nibble_swap),not(shl))",1,0,1,1,False
"or(and(const_mask,not(ror)),not(shl))",1,0,1,1,False
"or(and(const_mask,rol),not(shl))",1,0,1,1,False
"or(and(const_not_mask,rol),shl)",1,0,1,1,False
"or(and(const_not_mask,shr),not(shr))",1,0,1,1,False
"or(and(const_not_mask,shr),shr)",1,0,1,1,False
"or(and(nibble_swap,not(ror)),not(shl))",1,0,1,1,False
"or(and(nibble_swap,not(shr)),not(shl))",1,0,1,1,False
"or(and(nibble_swap,reverse),not(shl))",1,0,1,1,False
"or(and(nibble_swap,rol),not(shl))",1,0,1,1,False
"or(and(nibble_swap,rol),not(shr))",1,0,1,1,False
"or(and(nibble_swap,ror),not(shl))",1,0,1,1,False
"or(and(nibble_swap,shl),not(shl))",1,0,1,1,False
"or(and(nibble_swap,shr),not(ror))",1,0,1,1,False
"or(and(nibble_swap,x),not(shl))",1,0,1,1,False
"or(and(not(nibble_swap),ror),not(shr))",1,0,1,1,False
"or(and(not(nibble_swap),shr),not(shr))",1,0,1,1,False
"or(and(not(reverse),shl),shl)",1,0,1,1,False
"or(and(not(rol),not(shl)),not(shl))",1,0,1,1,False
"or(and(not(rol),shr),not(ror))",1,0,1,1,False
"or(and(not(ror),not(shl)),not(shl))",1,0,1,1,False
"or(and(not(ror),not(shr)),not(shl))",1,0,1,1,False
"or(and(not(ror),reverse),not(shl))",1,0,1,1,False
"or(and(not(ror),rol),not(shl))",1,0,1,1,False
"or(and(not(ror),rol),not(shr))",1,0,1,1,False
"or(and(not(ror),ror),not(shl))",1,0,1,1,False
"or(and(not(ror),x),not(shl))",1,0,1,1,False
"or(and(not(shl),not(shl)),nibble_swap)",1,0,1,1,False
"or(and(not(shl),not(shl)),not(ror))",1,0,1,1,False
"or(and(not(shl),not(shr)),not(shl))",1,0,1,1,False
"or(and(not(shl),not(shr)),rol)",1,0,1,1,False
"or(and(not(shl),not(shr)),ror)",1,0,1,1,False
"or(and(not(shl),rol),not(shr))",1,0,1,1,False
"or(and(not(shr),rol),not(shl))",1,0,1,1,False
"or(and(not(shr),rol),rol)",1,0,1,1,False
"or(and(not(shr),shr),shr)",1,0,1,1,False
"or(and(not(x),shr),not(ror))",1,0,1,1,False
"or(and(reverse,rol),not(shl))",1,0,1,1,False
"or(and(rol,ror),not(shl))",1,0,1,1,False
"or(and(rol,shl),not(shl))",1,0,1,1,False
"or(and(rol,x),not(shl))",1,0,1,1,False
"or(nibble_swap,not(shl))",1,0,1,1,False
"or(nibble_swap,or(not(shl),shl))",1,0,1,1,False
"or(nibble_swap,xor(not(shl),shl))",1,0,1,1,False
"or(not(ror),not(shl))",1,0,1,1,False
"or(not(ror),shr)",1,0,1,1,False
"or(not(shl),or(rol,shl))",1,0,1,1,False
"or(not(shl),or(rol,x))",1,0,1,1,False
"or(not(shl),rol)",1,0,1,1,False
"or(not(shl),xor(const_mask,not(ror)))",1,0,1,1,False
"or(not(shr),or(reverse,rol))",1,0,1,1,False
"or(not(shr),or(rol,rol))",1,0,1,1,False
"or(not(shr),or(rol,shl))",1,0,1,1,False
"or(not(shr),rol)",1,0,1,1,False
"or(not(shr),xor(const_mask,ror))",1,0,1,1,False
"or(not(shr),xor(not(rol),not(shl)))",1,0,1,1,False
"or(not(shr),xor(not(ror),not(shl)))",1,0,1,1,False
"or(not(shr),xor(not(ror),ror))",1,0,1,1,False
"or(not(shr),xor(not(shr),not(shr)))",1,0,1,1,False
"or(or(rol,shl),rol)",1,0,1,1,False
"or(rol,rol)",1,0,1,1,False
"or(shr,xor(not(shr),not(shr)))",1,0,1,1,False
"xor(and(const_not_mask,not(shl)),not(shl))",1,0,1,1,False
"xor(and(nibble_swap,shl),not(shl))",1,0,1,1,False
"xor(and(not(nibble_swap),not(ror)),not(shl))",1,0,1,1,False
"xor(and(not(ror),not(ror)),not(shl))",1,0,1,1,False
"xor(and(not(shr),shl),nibble_swap)",1,0,1,1,False
"xor(nibble_swap,or(shl,shl))",1,0,1,1,False
"xor(nibble_swap,or(shr,shr))",1,0,1,1,False
"xor(not(rol),or(const_mask,not(shl)))",1,0,1,1,False
"xor(not(rol),or(const_not_mask,not(nibble_swap)))",1,0,1,1,False
"xor(not(rol),or(const_not_mask,not(ror)))",1,0,1,1,False
"xor(not(rol),or(const_not_mask,not(x)))",1,0,1,1,False
"xor(not(rol),or(not(nibble_swap),not(shl)))",1,0,1,1,False
"xor(not(rol),or(not(shl),x))",1,0,1,1,False
"xor(not(ror),or(const_not_mask,not(x)))",1,0,1,1,False
"xor(not(ror),or(nibble_swap,not(shl)))",1,0,1,1,False
"xor(not(ror),or(not(nibble_swap),not(shl)))",1,0,1,1,False
"xor(not(ror),or(not(shl),not(shr)))",1,0,1,1,False
"xor(not(ror),or(not(shl),not(x)))",1,0,1,1,False
"xor(not(shl),or(not(ror),not(shr)))",1,0,1,1,False
"xor(not(shl),or(not(ror),shl))",1,0,1,1,False
"xor(not(shl),or(not(shl),x))",1,0,1,1,False
"xor(not(shl),or(not(shr),reverse))",1,0,1,1,False
"xor(not(shl),or(not(shr),rol))",1,0,1,1,False
"xor(not(shl),or(not(shr),shl))",1,0,1,1,False
"xor(not(shl),or(not(shr),shr))",1,0,1,1,False
"xor(not(shr),or(not(rol),not(shr)))",1,0,1,1,False
"xor(not(shr),or(not(shl),x))",1,0,1,1,False
"xor(not(shr),or(not(shr),not(x)))",1,0,1,1,False
